date,state,county,zip,agency,agency_id,ori,type,population_policed,operating_budget,agency_type
2025-05-16 am,FLORIDA,NA,33166,miami springs police,636895,FL0130900,Task Force Model,14315,6498733,(003) Local Police
2025-05-16 am,FLORIDA,NA,34769,st cloud police,636974,FL0490100,Task Force Model,54115,14100537,(003) Local Police
2025-05-16 am,FLORIDA,NA,33542,zephyrhills police,637063,FL0510300,Task Force Model,15563,4350318,(003) Local Police
2025-05-16 am,FLORIDA,Clay County,32043,clay county sheriff,636694,FL0100000,Jail Enforcement Model,216072,47777498,(001) Sheriff
2025-05-16 am,FLORIDA,Clay County,32043,clay county sheriff,636694,FL0100000,Warrant Service Officer,216072,47777498,(001) Sheriff
2025-05-16 am,FLORIDA,Clay County,32043,clay county sheriff,636694,FL0100000,Task Force Model,216072,47777498,(001) Sheriff
2025-05-16 am,FLORIDA,NA,33756,clearwater police,636695,FL0520300,Task Force Model,116478,41389690,(003) Local Police
2025-05-16 am,FLORIDA,NA,34711,clermont police,636696,FL0350300,Task Force Model,36693,8475000,(003) Local Police
2025-05-16 am,FLORIDA,NA,32931,cocoa beach police,636698,FL0050300,Task Force Model,11737,4394541,(003) Local Police
2025-05-16 am,FLORIDA,Collier County,34112,collier county sheriff,636702,FL0110000,Jail Enforcement Model,378488,174720200,(001) Sheriff
2025-05-16 am,FLORIDA,Collier County,34112,collier county sheriff,636702,FL0110000,Task Force Model,378488,174720200,(001) Sheriff
2025-05-16 am,FLORIDA,Columbia County,32055,columbia county sheriff,636703,FL0120000,Warrant Service Officer,70503,14995351,(001) Sheriff
2025-05-16 am,FLORIDA,Columbia County,32055,columbia county sheriff,636703,FL0120000,Task Force Model,70503,14995351,(001) Sheriff
2025-05-16 am,FLORIDA,NA,33134,coral gables police,636704,FL0130200,Task Force Model,50999,44666517,(003) Local Police
2025-05-16 am,FLORIDA,NA,33836,davenport police,636713,FL0530300,Task Force Model,5378,1097750,(003) Local Police
2025-05-16 am,FLORIDA,NA,33324,davie police,636714,FL0061200,Task Force Model,106558,52000000,(003) Local Police
2025-05-16 am,FLORIDA,NA,32114,daytona beach police,636715,FL0640100,Task Force Model,68866,34761607,(003) Local Police
